Date,Value
2022-01-01 00:00:00,5.0
2022-01-01 01:00:00,5.258819045102521
2022-01-01 02:00:00,5.5
2022-01-01 03:00:00,5.707106781186548
2022-01-01 04:00:00,5.866025403784438
2022-01-01 05:00:00,5.965925826289069
2022-01-01 06:00:00,6.0
2022-01-01 07:00:00,5.965925826289069
2022-01-01 08:00:00,5.866025403784438
2022-01-01 09:00:00,5.707106781186548
2022-01-01 10:00:00,5.5
2022-01-01 11:00:00,5.258819045102521
2022-01-01 12:00:00,5.0
2022-01-01 13:00:00,4.741180954897479
2022-01-01 14:00:00,4.5
2022-01-01 15:00:00,4.292893218813453
2022-01-01 16:00:00,4.133974596215562
2022-01-01 17:00:00,4.034074173710931
2022-01-01 18:00:00,4.0
2022-01-01 19:00:00,4.034074173710931
2022-01-01 20:00:00,4.133974596215562
2022-01-01 21:00:00,4.292893218813452
2022-01-01 22:00:00,4.5
2022-01-01 23:00:00,4.741180954897478
2022-01-02 00:00:00,5.0
2022-01-02 01:00:00,5.258819045102521
2022-01-02 02:00:00,5.5
2022-01-02 03:00:00,5.707106781186547
2022-01-02 04:00:00,5.866025403784438
2022-01-02 05:00:00,5.965925826289069
2022-01-02 06:00:00,6.0
2022-01-02 07:00:00,5.965925826289069
2022-01-02 08:00:00,5.866025403784439
2022-01-02 09:00:00,5.707106781186547
2022-01-02 10:00:00,5.5
2022-01-02 11:00:00,5.258819045102521
2022-01-02 12:00:00,5.0
2022-01-02 13:00:00,4.74118095489748
2022-01-02 14:00:00,4.500000000000001
2022-01-02 15:00:00,4.292893218813454
2022-01-02 16:00:00,4.133974596215562
2022-01-02 17:00:00,4.034074173710932
2022-01-02 18:00:00,4.0
2022-01-02 19:00:00,4.034074173710931
2022-01-02 20:00:00,4.133974596215561
2022-01-02 21:00:00,4.292893218813453
2022-01-02 22:00:00,4.499999999999998
2022-01-02 23:00:00,4.741180954897479
2022-01-03 00:00:00,4.999999999999999
2022-01-03 01:00:00,5.25881904510252
2022-01-03 02:00:00,5.500000000000001
2022-01-03 03:00:00,5.707106781186546
2022-01-03 04:00:00,5.866025403784438
2022-01-03 05:00:00,5.965925826289068
2022-01-03 06:00:00,6.0
2022-01-03 07:00:00,5.965925826289068
2022-01-03 08:00:00,5.866025403784439
2022-01-03 09:00:00,5.707106781186549
2022-01-03 10:00:00,5.5
2022-01-03 11:00:00,5.258819045102521
2022-01-03 12:00:00,5.000000000000003
2022-01-03 13:00:00,4.74118095489748
2022-01-03 14:00:00,4.500000000000001
2022-01-03 15:00:00,4.292893218813452
2022-01-03 16:00:00,4.1339745962155625
2022-01-03 17:00:00,4.034074173710932
2022-01-03 18:00:00,4.0
2022-01-03 19:00:00,4.034074173710931
2022-01-03 20:00:00,4.133974596215562
2022-01-03 21:00:00,4.292893218813451
2022-01-03 22:00:00,4.5
2022-01-03 23:00:00,4.74118095489748
2022-01-04 00:00:00,4.999999999999999
2022-01-04 01:00:00,5.258819045102518
2022-01-04 02:00:00,5.499999999999999
2022-01-04 03:00:00,5.707106781186548
2022-01-04 04:00:00,5.8660254037844375
2022-01-04 05:00:00,5.965925826289068
2022-01-04 06:00:00,6.0
2022-01-04 07:00:00,5.965925826289069
2022-01-04 08:00:00,5.866025403784438
2022-01-04 09:00:00,5.707106781186549
2022-01-04 10:00:00,5.5000000000000036
2022-01-04 11:00:00,5.25881904510252
2022-01-04 12:00:00,5.000000000000001
2022-01-04 13:00:00,4.741180954897478
2022-01-04 14:00:00,4.500000000000001
2022-01-04 15:00:00,4.292893218813455
2022-01-04 16:00:00,4.1339745962155625
2022-01-04 17:00:00,4.034074173710932
2022-01-04 18:00:00,4.0
2022-01-04 19:00:00,4.034074173710931
2022-01-04 20:00:00,4.13397459621556
2022-01-04 21:00:00,4.292893218813451
2022-01-04 22:00:00,4.5
2022-01-04 23:00:00,4.74118095489748
2022-01-05 00:00:00,4.999999999999999
2022-01-05 01:00:00,5.258819045102518
2022-01-05 02:00:00,5.499999999999998
2022-01-05 03:00:00,5.707106781186548
2022-01-05 04:00:00,5.866025403784439
2022-01-05 05:00:00,5.965925826289068
2022-01-05 06:00:00,6.0
2022-01-05 07:00:00,5.965925826289069
2022-01-05 08:00:00,5.866025403784438
2022-01-05 09:00:00,5.707106781186546
2022-01-05 10:00:00,5.5
2022-01-05 11:00:00,5.258819045102523
2022-01-05 12:00:00,5.000000000000001
2022-01-05 13:00:00,4.741180954897482
2022-01-05 14:00:00,4.499999999999998
2022-01-05 15:00:00,4.292893218813453
2022-01-05 16:00:00,4.1339745962155625
2022-01-05 17:00:00,4.034074173710932
2022-01-05 18:00:00,4.0
2022-01-05 19:00:00,4.034074173710932
2022-01-05 20:00:00,4.133974596215562
2022-01-05 21:00:00,4.292893218813451
2022-01-05 22:00:00,4.499999999999999
2022-01-05 23:00:00,4.741180954897477
2022-01-06 00:00:00,4.999999999999996
2022-01-06 01:00:00,5.258819045102521
2022-01-06 02:00:00,5.499999999999998
2022-01-06 03:00:00,5.707106781186544
2022-01-06 04:00:00,5.8660254037844375
2022-01-06 05:00:00,5.965925826289068
2022-01-06 06:00:00,6.0
2022-01-06 07:00:00,5.965925826289068
2022-01-06 08:00:00,5.86602540378444
2022-01-06 09:00:00,5.707106781186549
2022-01-06 10:00:00,5.500000000000001
2022-01-06 11:00:00,5.25881904510252
2022-01-06 12:00:00,4.999999999999998
2022-01-06 13:00:00,4.741180954897483
2022-01-06 14:00:00,4.500000000000002
2022-01-06 15:00:00,4.292893218813453
2022-01-06 16:00:00,4.133974596215561
